Name,Id,Parent,NodeType,Description,Icon,Panel,Hostname,Protocol,PuttySession,Port,ConnectToConsole,UseCredSsp,RenderingEngine,ICAEncryptionStrength,RDPAuthenticationLevel,LoadBalanceInfo,Colors,Resolution,AutomaticResize,DisplayWallpaper,DisplayThemes,EnableFontSmoothing,EnableDesktopComposition,CacheBitmaps,RedirectDiskDrives,RedirectPorts,RedirectPrinters,RedirectSmartCards,RedirectSound,RedirectKeys,PreExtApp,PostExtApp,MacAddress,UserField,ExtApp,VNCCompression,VNCEncoding,VNCAuthMode,VNCProxyType,VNCProxyIP,VNCProxyPort,VNCProxyUsername,VNCProxyPassword,VNCColors,VNCSmartSizeMode,VNCViewOnly,RDGatewayUsageMethod,RDGatewayHostname,RDGatewayUseConnectionCredentials,RDGatewayUsername,RDGatewayPassword,RDGatewayDomain,Column1
Domain Controllers,,,Container,My Domain Controllers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
Application Servers,,,Container,My Application servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
Exchange Servers,,,Container,My Exchange servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
File Servers,,,Container,My file servers,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
RDS Servers,,,Container,My RD Session hosts,mRemoteNG,General,,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
DC01,,Domain Controllers,Connection,This is a domain controller,mRemoteNG,General,dc01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
DC02,,Domain Controllers,Connection,This is a domain controller,mRemoteNG,General,dc02.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
APP01,,Application Servers,Connection,This is my app server,mRemoteNG,General,app01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
EX01,,Exchange Servers,Connection,On-prem Exchange server,mRemoteNG,General,ex01.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
FILE01,,File Servers,Connection,Shared Server Data,mRemoteNG,General,file02.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
RDS01,,RDS Servers,Connection,RD Session Host,mRemoteNG,General,rds02.ad.example.com,RDP,Default Settings,3389,FALSE,TRUE,IE,EncrBasic,NoAuth,,Colors16Bit,FitToWindow,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,DoNotPlay,FALSE,,,,,,CompNone,EncHextile,AuthVNC,ProxyNone,,0,,,ColNormal,SmartSAspect,FALSE,Never,,Yes,,,,
